area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,education,msdgroup,matgroup,socgroup,edugroup,densitygroup
6,2016,2.69E-05,3859.489051,4.01,4.01,Vancouver,0.007320644,-445.979937,-445.9656516,0.95334512,0.491582492,2,2,2,4,3
6,1994,3.12E-05,3387.798425,4.01,4.01,Vancouver,0.011711,-58.61290037,-58.58926388,0.99386487,0.323389843,2,2,2,4,4
6,1999,2.95E-05,3409.950465,4.01,4.01,Vancouver,0.011458655,-533.0333113,-532.9777504,0.944241345,0.311013398,1,1,1,4,4
6,1992,7.25E-05,3321.266142,4.01,4.01,Vancouver,0.009175362,-43.68358722,-43.67456967,0.995425737,0.328340421,2,2,2,4,4
6,2001,3.16E-05,3380.363636,4.01,4.01,Vancouver,0.014396456,-298.508237,-298.4335995,0.968774071,0.30606282,2,2,2,4,4
6,2000,3.19E-05,3395.157051,4.01,4.01,Vancouver,0.010529328,-686.1970105,-686.1356811,0.92822046,0.308538109,1,1,1,4,4
6,1996,2.60E-05,3454.330709,4.01,4.01,Vancouver,0.014246638,-73.54221352,-73.5039581,0.992304003,0.318439265,1,1,1,4,4
6,1990,3.92E-05,3288,4.01,4.01,Vancouver,0.007907543,-36.21893064,-36.21722257,0.996206171,0.33081571,2,2,2,4,4
6,2010,2.95E-05,3699.631055,4.01,4.01,Vancouver,0.012451646,-403.1598037,-403.0970921,0.957826713,0.513037178,1,1,1,5,3
6,2004,3.20E-05,3455.418182,4.01,4.01,Vancouver,0.011518583,-623.0197207,-622.949607,0.934829373,0.39600268,1,1,1,4,4
6,2003,3.13E-05,3430.4,4.01,4.01,Vancouver,0.012477874,-514.8492261,-514.7776045,0.946144272,0.366022727,1,1,1,4,4
6,1991,3.73E-05,3288,4.01,4.01,Vancouver,0.007907543,-36.21893064,-36.21722257,0.996206171,0.33081571,2,2,2,4,4
6,2012,3.15E-05,3770.437956,4.01,4.01,Vancouver,0.011995774,-324.4836492,-324.4315001,0.966055822,0.520161159,2,2,2,5,3
6,1993,4.49E-05,3354.532283,4.01,4.01,Vancouver,0.010443181,-51.1482438,-51.13191678,0.994645304,0.325865132,2,2,2,4,4
6,2007,4.78E-05,3553.998673,4.01,4.01,Vancouver,0.010312911,-730.3104832,-730.244482,0.923606359,0.470231235,1,1,1,4,4
6,2011,3.06E-05,3748.175182,4.01,4.01,Vancouver,0.013164557,-294.1095772,-294.0479622,0.969233497,0.527305825,2,2,2,5,3
6,2013,2.75E-05,3792.70073,4.01,4.01,Vancouver,0.010826992,-354.8577211,-354.8150379,0.962878146,0.513016492,2,2,2,4,3
